Order,Family,Species,ZooMS_taxon,COL1a2_978_990,COL1a2_604_618,COL1a2_502_519,COL1a2_889_906,COL1a2_889_906,COL1a2_175_192,COL1a2_292_309,COL1a2_625_648,COL1a2_625_653,COL1a2_658_687,COL1a2_454_483,COL1a2_757_789,COL1a2_10_42,COL1a2_10_42,COL1a2_520_555,COL1a2_520_555
Galliformes,Phasianidae,Gallus gallus,Chicken,1220.7,1221.6,1594.8,1604.8,1620.8,1603.8,1609.8,2108.0,2466.2,2539.3,2777.3,2927.5,3097.4,3113.4,3192.5,3208.5
Gaviiformes,Gaviidae,Gavia Stellata,Red-throated diver,1252.6,1221.6,1568.8,1578.8,1594.8,1589.8,1609.8,2108.0,2466.2,2515.2,2804.3,2913.5,3106.4,3122.4,3152.5,3168.5
Passeriformes,Thraupidae,Geospiza Fortis,Medium ground-finch,1220.7,1221.6,1578.8,1564.8,1580.8,1603.8,1608.8,2108.0,2466.2,2511.3,2777.3,2927.5,3111.4,3127.4,3166.5,3182.5
Parulidae,Passeriformes,Geothlypis trichas,Common yellowthroat,1220.7,1221.6,1578.8,1564.8,1580.8,1603.8,1608.8,2108.0,2466.2,2511.3,2777.3,2927.5,3111.4,3127.4,3156.5,3172.5
Passeriformes,Formicariidae,Grallaria Varia,variegated antpitta,1220.7,1221.6,1568.8,1592.8,1608.8,1589.8,1609.8,2108.0,2466.2,2499.2,2777.3,2927.5,3097.4,3113.4,3156.5,3172.5
Passeriformes,Meliphagidae,Grantiella Picta,Grantiella Picta,1220.7,1221.6,1578.8,1578.8,1594.8,1603.8,1608.8,2108.0,2466.2,2509.3,2777.3,2927.5,,,3166.5,3182.5
Gruiformes,Gruidae,Grus Americana,Whooping crane,1220.7,1221.6,1578.8,1550.8,1566.8,1603.8,1596.8,2108.0,2466.2,2497.2,2804.3,2927.5,3097.4,3113.4,3152.5,3168.5
Psittacidae,Psittaciformes,Guaruba guarouba,Golden parakeet,1192.6,1221.6,1552.8,1564.8,1580.8,1612.8,1609.8,2135.0,2493.2,2511.3,2804.3,2927.5,3097.4,3113.4,3150.5,3166.5
Accipitriformes,Cathartidae,Gymnogyps Californianus,California condor,1220.7,1221.6,1568.8,1578.8,1594.8,1603.8,1596.8,2135.0,2493.2,2497.2,2804.3,2913.5,3097.4,3113.4,3152.5,3168.5
Passeriformes,Artamidae,Gymnorhina Tibicen,Australian magpie,1220.7,1221.6,1578.8,1578.8,1594.8,1603.8,1608.8,2108.0,2466.2,2539.3,2777.3,2927.5,3135.4,3151.4,3156.5,3172.5
Passeriformes,Fringillidae,Haemorhous Mexicanus,House finch,1220.7,1221.6,1578.8,1564.8,1580.8,1589.8,1608.8,2108.0,2466.2,2497.2,2777.3,2927.5,3135.4,3151.4,3166.5,3182.5
